revision_id,revision_timestamp,building_id,forward_patch,reverse_patch,user
275022,2023-07-04 08:06:10+02,44080,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275023,2023-07-04 08:06:11+02,42340,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275024,2023-07-04 08:06:12+02,42208,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275025,2023-07-04 08:06:13+02,42587,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275026,2023-07-04 08:06:14+02,42726,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275027,2023-07-04 08:06:16+02,42256,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275028,2023-07-04 08:06:18+02,44329,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275029,2023-07-04 08:06:20+02,44412,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275030,2023-07-04 08:06:21+02,43912,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275031,2023-07-04 08:06:22+02,41651,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275032,2023-07-04 08:06:23+02,41650,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275033,2023-07-04 08:06:26+02,43225,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275034,2023-07-04 08:06:27+02,44375,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275035,2023-07-04 08:06:28+02,43051,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275036,2023-07-04 08:06:28+02,42941,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275037,2023-07-04 08:06:29+02,42558,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275038,2023-07-04 08:06:30+02,43480,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",jugendstil_gesucht
275039,2023-07-04 16:59:32+02,44177,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",blaumiau
275040,2023-07-04 17:00:00+02,43570,"{""building_attachment_form"": ""freistehend""}","{""building_attachment_form"": null}",blaumiau
